55191,-43.535,172.643
55192,-43.5343,172.64
55194,-43.5269,172.634
55196,-43.526979,172.633386
55198,-43.526979,172.633386
55200,-43.526979,172.633386
55202,-43.532343,172.641833
55204,-43.532343,172.641833
55206,-43.532343,172.641833
55209,-43.5328,172.6425
55211,-43.5328,172.6425
55213,-43.530534,172.635313
55215,-43.530534,172.635313
55217,-43.533,172.638
55219,-43.533,172.638
55221,-43.5344,172.6421
55222,-43.5344,172.6421
55224,-43.5274,172.6387
55226,-43.5346,172.6404
55228,-43.5346,172.6404
55230,-43.5329,172.639
55231,-43.5329,172.639
55233,-43.5329,172.639
55235,-43.5348,172.6395
55237,-43.5348,172.6395
55239,-43.535,172.6411
55241,-43.535,172.6411
55243,-43.531229,172.634985
55244,-43.531229,172.634985
55246,-43.531229,172.634985
55248,-43.531229,172.634985
55250,-43.531229,172.634985
55331,-43.5348,172.6395
61555,-43.5286,172.6369
61556,-43.533358,172.635363
61557,-43.533358,172.635363
61558,-43.5331,172.64
61559,-43.5331,172.64
61560,-43.5331,172.64
61562,-43.530599,172.638112
61563,-43.530599,172.638112
61564,-43.530599,172.638112
61565,-43.530472,172.637673
61566,-43.53,172.6374
61568,-43.531818,172.630838
61569,-43.531818,172.630838
61570,-43.531818,172.630838
61571,-43.531818,172.630838
61572,-43.5322,172.6404
61573,-43.5322,172.6404
61574,-43.5344,172.64
61575,-43.532169,172.637152
61576,-43.5348,172.6398
61577,-43.5348,172.6398
61578,-43.5348,172.6398
61579,-43.5348,172.6398
61580,-43.5348,172.6398
61581,-43.5348,172.6398
61583,-43.5323,172.6399
61584,-43.5323,172.6399
61585,-43.5323,172.6399
61586,-43.5304,172.6399
61587,-43.5304,172.6399
61588,-43.5356,172.639
61589,-43.5356,172.639
61590,-43.5313,172.634
61591,-43.5313,172.634
61598,-43.533358,172.635363
61617,-43.5322,172.6404
61619,-43.5344,172.64
61623,-43.532169,172.637152
61628,-43.5304,172.6399
64241,-43.529,172.639
64298,-43.5354,172.6338
64302,-43.5339,172.6338
64303,-43.5339,172.6338
64304,-43.5334,172.6338
64305,-43.5334,172.6338
64306,-43.5331,172.6333
64307,-43.5331,172.6333
64308,-43.532623,172.634234
64309,-43.532623,172.634234
64310,-43.531551,172.632325
64311,-43.531551,172.632325
64315,-43.5315,172.6358
64316,-43.5315,172.6358
64317,-43.5291,172.634
64318,-43.53,172.6347
64319,-43.53,172.6347
64323,-43.5291,172.634
64324,-43.5291,172.634
64325,-43.5291,172.634
64326,-43.5291,172.634
64327,-43.5281,172.6341
64328,-43.5281,172.6341
