179575,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0,-43.534,172.6329,95 Oxford Terrace
179576,Kete Christchurch,Creative Commons BY-NC-SA 3.0 NZ,-43.534,172.6329,95 Oxford Terrace
135603,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0,-43.5367,172.6333,213 Durham Street
64306,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0,-43.5331,172.6333,Bridge of Remembrance
64307,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0,-43.5331,172.6333,Bridge of Remembrance
64476,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0,-43.5331,172.6333,Bridge of Remembrance
64477,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0,-43.5331,172.6333,Bridge of Remembrance
64478,BeckerFraserPhotos,Creative Commons BY-NC-ND 3.0,-43.5331,172.6333,Bridge of Remembrance
64479,hytam2,Creative Commons BY 2.0,-43.5331,172.6333,Bridge of Remembrance
64480,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
64481,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
74056,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
74057,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
74058,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
97178,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
135580,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
163353,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
163355,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
173374,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
173377,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
173400,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
173405,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
173409,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,50 Gloucester Street
173413,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180780,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180781,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180782,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180783,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180785,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180786,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180788,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180789,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180828,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180829,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180830,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180831,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180832,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180833,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180834,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180837,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180926,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180927,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180928,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180929,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180930,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180931,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180932,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
180933,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
185315,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
185341,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
185343,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
185346,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
185347,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
185349,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
185351,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
189182,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5331,172.6333,Bridge of Remembrance
64298,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5354,172.6338,132 Tuam Street
179354,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5354,172.6338,132 Tuam Street
64302,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5339,172.6338,96 Oxford Terrace
64303,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5339,172.6338,96 Oxford Terrace
64305,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5334,172.6338,76 Cashel Street
200238,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5334,172.6338,76 Cashel Street
200239,Jared Cantlon,Creative Commons BY-NC 3.0,-43.5334,172.6338,76 Cashel Street
