220309,"Department of Civil and Natural Resources Engineering, University of Canterbury",Creative Commons BY-NC-ND 3.0,-43.5398,172.6301
220308,"Department of Civil and Natural Resources Engineering, University of Canterbury",Creative Commons BY-NC-ND 3.0,-43.5397,172.6225
181217,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.539653,172.597442
174060,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.538961,172.633617
174059,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.538922,172.633714
307353,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5384,172.6305
307357,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5384,172.6305
307360,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5384,172.6305
307364,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5384,172.6305
135605,Neil Macbeth,Creative Commons BY-NC-ND 3.0,-43.5384,172.6336
180380,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.538383,172.630603
182824,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.538344,172.630661
307097,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5383,172.6307
135601,Neil Macbeth,Creative Commons BY-NC-ND 3.0,-43.5383,172.6337
181718,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.538222,172.634572
181716,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.538197,172.634553
307095,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5381,172.6301
182522,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.537989,172.62445
307046,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5377,172.6277
307047,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5377,172.6277
307048,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5377,172.6278
307049,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5377,172.6278
307050,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5377,172.6278
307091,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5377,172.6294
307075,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5376,172.6292
307076,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5376,172.6292
307077,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5376,172.6292
307078,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5376,172.6292
307079,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5376,172.6292
307080,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5376,172.6292
307081,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5376,172.6292
135602,Neil Macbeth,Creative Commons BY-NC-ND 3.0,-43.5375,172.6337
135023,Neil Macbeth,Creative Commons BY-NC-ND 3.0,-43.53706,172.63333
186114,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.537017,172.627242
307051,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.537,172.6278
307052,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.537,172.6278
185369,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.536872,172.627797
185371,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.536872,172.6278
185367,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.536856,172.627756
185366,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.536853,172.62775
185363,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.536844,172.627733
185361,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.536836,172.627714
185359,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.536831,172.627697
135603,Neil Macbeth,Creative Commons BY-NC-ND 3.0,-43.5368,172.6337
187642,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.536633,172.629167
307056,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5365,172.6288
220571,Elizabeth Ackermann,Creative Commons BY-NC-ND 3.0,-43.5364,172.6201
220572,Elizabeth Ackermann,Creative Commons BY-NC-ND 3.0,-43.5364,172.6201
220573,Elizabeth Ackermann,Creative Commons BY-NC-ND 3.0,-43.5364,172.6201
220574,Elizabeth Ackermann,Creative Commons BY-NC-ND 3.0,-43.5364,172.6201
220575,Elizabeth Ackermann,Creative Commons BY-NC-ND 3.0,-43.5364,172.6201
220576,Elizabeth Ackermann,Creative Commons BY-NC-ND 3.0,-43.5364,172.6201
307058,Wellington Emergency Management Office,Creative Commons BY-NC-SA 3.0 NZ,-43.5364,172.6287
186112,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.536358,172.626403
173958,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.536314,172.634667
173956,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.536314,172.634933
173961,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.536311,172.634428
220577,Elizabeth Ackermann,Creative Commons BY-NC-ND 3.0,-43.5363,172.6221
220579,Elizabeth Ackermann,Creative Commons BY-NC-ND 3.0,-43.5363,172.6221
181210,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.536197,172.631806
181211,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.536122,172.615447
173168,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535711,172.625472
181235,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535667,172.617706
173169,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535617,172.624969
173171,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535592,172.625014
181196,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535592,172.633606
179353,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535336,172.6347
179352,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535336,172.634736
179350,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535336,172.634994
179351,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535333,172.634853
179354,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535319,172.634017
179580,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535314,172.634989
186735,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535281,172.630417
181190,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535233,172.623733
181195,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535156,172.631286
179579,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535122,172.633689
186743,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535053,172.630569
179578,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535053,172.633597
186737,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.53505,172.630458
186719,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535044,172.563264
186741,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.535044,172.630525
187801,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534983,172.634861
186739,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534861,172.630328
187796,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534844,172.634956
186746,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534833,172.630583
187797,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534828,172.634961
180795,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534764,172.629633
181212,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534736,172.6062
172602,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534722,172.631483
172599,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534669,172.631572
180794,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534594,172.631414
185139,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534581,172.62625
187799,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534578,172.635042
187511,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.53455,172.630736
179480,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534511,172.630353
179577,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534472,172.633456
179479,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534403,172.629236
187513,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534322,172.629858
228414,Sonja Farmer,Creative Commons BY-NC-ND 3.0 NZ,-43.5343,172.6306
179190,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534269,172.633989
179195,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534267,172.634675
179196,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534267,172.634889
179197,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534267,172.634889
179191,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534264,172.634017
172595,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534242,172.633647
179192,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534214,172.634275
179193,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.5342,172.634361
179194,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534192,172.634553
172598,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534178,172.632822
181189,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534114,172.631775
187508,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534097,172.631858
182555,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534053,172.625747
183373,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.53405,172.634586
183375,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534039,172.634589
179973,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.534,172.6277
185138,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533928,172.623672
182827,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533878,172.633986
181175,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533867,172.625167
179576,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533842,172.63305
187497,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533833,172.624253
183376,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533797,172.634492
179575,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533747,172.632981
185355,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533653,172.632931
185357,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.53365,172.632972
180364,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533547,172.632294
179189,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533486,172.633714
189590,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533478,172.633036
81806,Jennifer Middendorf,Creative Commons BY-NC-SA 3.0,-43.533425,172.63485
181187,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533414,172.628447
181188,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533414,172.628447
180793,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533353,172.632731
173417,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.53335,172.632478
180791,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533347,172.631775
182086,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533347,172.634894
180025,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533325,172.631697
173413,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533322,172.632467
189182,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533292,172.633147
185315,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533292,172.63355
173405,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533286,172.632925
180789,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.53325,172.633025
173400,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533244,172.632956
180535,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533242,172.633622
180790,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533236,172.632956
97276,Jennifer Middendorf,Creative Commons BY-NC-SA 3.0,-43.533236,172.634992
172583,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533233,172.632972
173409,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533219,172.632461
181744,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533219,172.634644
180545,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533219,172.634994
180792,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533217,172.632492
181674,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533217,172.634989
172384,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533211,172.630661
173408,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533211,172.632789
172586,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533211,172.632964
180783,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533211,172.633086
97275,Jennifer Middendorf,Creative Commons BY-NC-SA 3.0,-43.533211,172.634622
181672,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533211,172.634992
181684,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533208,172.634703
179158,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533206,172.634664
181682,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533206,172.63495
181670,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533206,172.634994
172385,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533203,172.630661
180685,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533203,172.631517
181668,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533203,172.634997
186109,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.5332,172.625533
82239,Mark Lincoln,Creative Commons BY-NC-ND 3.0 NZ,-43.5332,172.6306
221694,Umut Akguzel,Creative Commons BY-NC-ND 3.0,-43.5332,172.6307
221692,Umut Akguzel,Creative Commons BY-NC-ND 3.0,-43.5332,172.6309
221693,Umut Akguzel,Creative Commons BY-NC-ND 3.0,-43.5332,172.6309
181623,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.5332,172.633606
182084,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.5332,172.634872
175532,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533197,172.632422
179166,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533197,172.634281
